provcd,year,ln_robot,bartik_iv
11,2020,9.556681606581607,10.15265522206331
12,2020,9.63864075914207,10.723513780040404
13,2020,9.64766777611313,9.167601435387496
14,2020,8.87752661494989,7.594855694121996
15,2020,7.77531868471251,7.625291560857529
21,2020,9.773092949325324,9.190283391655376
22,2020,9.870340715991322,8.667635180321696
23,2020,8.135433379393577,7.241722284459689
31,2020,10.331456212321523,11.689679317257324
32,2020,11.303787131145167,11.005745393793298
33,2020,10.763319249477291,10.399185140710328
34,2020,10.043360358330927,8.317145490922151
35,2020,9.876571545034158,10.855902667536336
36,2020,9.7195647143752,9.136144220109085
37,2020,10.586378567980374,10.100491858664606
41,2020,10.249373554585732,8.650322308079739
42,2020,10.346043222018976,9.051325188956037
43,2020,9.535905484449186,8.693508528420155
44,2020,11.87452993878711,11.19962561142285
45,2020,9.133577571189138,9.120431128891637
46,2020,6.722622454274957,6.790728104039842
50,2020,9.769274784971271,8.789639799189024
51,2020,9.876987507523422,8.642295788633282
52,2020,8.13941863660449,8.536457211208338
53,2020,8.328390436962083,8.423525435094147
61,2020,9.503700792053625,9.262956328332962
62,2020,7.784762831752054,8.720374366001586
63,2020,6.573401915961924,8.52381679859399
64,2020,6.745483024939823,8.00557014813428
65,2020,7.915974479114206,6.431842618909016
11,2022,8.009745854806793,10.344997180025302
12,2022,9.87407110016236,10.880767627378324
13,2022,9.91080769480059,9.35037322704414
14,2022,9.219527044980271,7.778016111020902
15,2022,8.043908665911628,7.838248450532484
21,2022,10.035357565833984,9.37140931951024
22,2022,10.119403044252136,8.858642324050402
23,2022,8.394082287844354,7.469957663566715
31,2022,10.60930240822684,11.827537120139032
32,2022,11.639116608762029,11.160497009941968
33,2022,10.897527163268904,10.598845404416764
34,2022,10.250330823581558,8.527704708057902
35,2022,10.187696099276314,11.02504477090938
36,2022,9.959476032269984,9.337907939617953
37,2022,10.846556136011966,10.26819376107236
41,2022,10.519297861344466,8.861797000484863
42,2022,10.581407129401295,9.274901414516584
43,2022,9.870010393551748,8.931178057877458
44,2022,12.178974278932849,11.355338573905495
45,2022,9.315537874348063,9.32745965735857
46,2022,6.918662577538189,7.055387844486432
50,2022,10.089803205630668,9.025342250614791
51,2022,10.012258545897817,8.879854159493512
52,2022,8.335792890136078,8.751556002296343
53,2022,8.629789644420875,8.655021423163326
61,2022,9.722542847446697,9.441350498675051
62,2022,7.856436528160993,8.926243698633767
63,2022,6.7045917902019365,8.735278317238034
64,2022,6.9249358442252005,8.185075224907385
65,2022,8.03359517580469,6.684627024983474
